Point_Index,VER_Speed,NOR_Speed,VER_RPM,NOR_RPM,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_nGear,NOR_nGear,Speed_Gap_kmh,Speed_Leader
87,169.0,174.59183493396245,8830.0,10868.550844161573,70.0,77.18366986792488,False,False,5,4,-5.591834933962446,NOR
88,172.6374976,178.94557706239667,9034.60924,11294.673354982075,78.4874944,85.89115412479335,False,False,5,4,-6.308079462396677,NOR
89,181.0,179.0,9505.0,11300.0,98.0,86.0,False,False,5,4,2.0,VER
90,182.76999936,186.0,9758.99490816,11475.0,99.76999936,91.0,False,False,5,4,-3.230000639999986,NOR
91,183.0,186.7125024,9792.0,11581.5191088,100.0,90.6437488,False,False,5,4,-3.7125024000000053,NOR
92,190.0,188.0,10058.0,11774.0,100.0,90.0,False,False,5,4,2.0,VER
93,194.281248,191.24999822222222,10254.0811584,11904.32492871111,100.0,92.59999857777778,False,False,5,4,3.031249777777788,VER
94,195.0,196.25000533333332,10287.0,12104.825213866667,100.0,96.60000426666667,False,False,5,4,-1.2500053333333199,NOR
95,201.0,198.0,10639.0,12175.0,100.0,98.0,False,False,5,4,3.0,VER
96,204.39499776,202.11000576,10785.95490304,11311.8987904,100.0,98.0,False,False,5,4,2.2849919999999884,VER
97,206.49499776,204.0,10876.85490304,10915.0,100.0,98.0,False,False,5,5,2.4949977599999897,VER
98,208.0,207.1607177142857,10942.0,11143.835962514286,100.0,98.63214354285714,False,False,5,5,0.8392822857142903,VER
99,214.19499776,209.0,10970.31998976,11277.0,100.0,99.0,False,False,5,5,5.194997760000007,VER
100,215.0,216.08000768,10974.0,11396.4751296,100.0,99.0,False,False,5,5,-1.0800076799999943,NOR
101,219.4500032,217.0,11226.9085152,11412.0,100.0,99.0,False,False,5,5,2.4500031999999976,VER
102,221.0,224.48889315555556,11315.0,11675.04737208889,100.0,99.0,False,False,5,5,-3.4888931555555587,NOR
103,227.08163614790183,225.0,11608.94574714859,11693.0,100.0,99.0,False,False,5,5,2.0816361479018326,VER
104,230.0,230.1375072,11750.0,10943.7802,100.0,99.0,False,False,5,5,-0.1375071999999875,NOR
105,231.4250048,231.0,11493.499136,10818.0,100.0,99.0,False,False,5,5,0.4250048000000106,VER
106,237.0,236.0,10490.0,10733.0,100.0,100.0,False,False,5,6,1.0,VER
107,240.4250048,236.2375008,10811.9504512,10764.1126048,100.0,99.7624992,False,False,5,6,4.187504000000018,VER
108,241.0,236.98749973333332,10866.0,10862.362465066666,100.0,99.01250026666666,False,False,6,6,4.012500266666677,VER
109,245.72500305454545,237.0,11048.925118254545,10864.0,100.0,99.0,False,False,6,6,8.725003054545454,VER
110,248.0,241.66666972520838,11137.0,10924.666706427708,100.0,99.0,False,False,6,6,6.333330274791621,VER
111,248.0,243.0,11201.7624736,10942.0,100.0,99.0,False,False,6,6,5.0,VER
112,248.0,243.5437512,11203.0,10993.2938632,100.0,99.0,False,False,6,6,4.456248799999997,VER
113,248.0,245.9812488,11194.0,11223.2311368,92.0,99.0,False,False,6,6,2.018751199999997,VER
114,248.0,246.0,11243.0,11225.0,80.0,99.0,False,False,6,6,2.0,VER
115,248.83571382857144,246.34249984,11219.182155885714,11239.38499328,80.41785691428572,90.437504,False,False,6,6,2.493213988571455,VER
116,250.0,246.84249984,11186.0,11260.38499328,81.0,77.937504,False,False,6,6,3.157500160000012,VER
117,249.81500032,247.0,11190.99499136,11267.0,81.9249984,74.0,False,False,6,6,2.815000319999996,VER
118,249.0,246.0,11213.0,11266.0,86.0,80.0,False,False,6,6,3.0,VER
119,248.81500032,245.15357165714286,11206.5250112,11180.510737371429,87.10999808,57.146434742857146,False,False,6,6,3.6614286628571335,VER
120,248.0,245.0,11178.0,11165.0,92.0,53.0,False,False,6,6,3.0,VER
121,248.58499968,243.4777784888889,11136.46502272,11127.705572977779,92.0,59.46944142222222,False,False,6,6,5.107221191111108,VER
122,249.0,242.3666673777778,11107.0,11100.483350755556,92.0,64.19166364444445,False,False,6,6,6.633332622222213,VER
123,247.6916672,241.0,10992.52088,11067.0,40.3208544,70.0,False,False,6,6,6.691667200000012,VER
124,247.0,241.8562496,10932.0,10873.4875904,13.0,54.587507200000005,True,False,6,6,5.143750399999988,VER
125,234.16250346666666,242.0,10347.400157866667,10841.0,9.050001066666667,52.0,True,False,6,6,-7.837496533333336,NOR
126,234.0,234.0857161142857,10340.0,11658.1498112,9.0,0.5571547428571364,True,False,6,6,-0.08571611428570236,NOR
127,230.45999616,234.0,10126.71476864,11667.0,20.505012479999998,0.0,True,True,6,6,-3.540003839999997,NOR
128,230.0,226.03500288,10099.0,11736.02997504,22.0,0.0,False,True,6,6,3.9649971199999925,VER
129,224.0,225.0,10076.0,11745.0,64.0,0.0,False,True,6,5,-1.0,NOR
130,223.2687504,222.46071497142856,10088.4312432,11454.6750784,69.8499968,6.771426742857143,False,True,6,5,0.8080354285714293,VER
131,223.0,222.0,10093.0,11402.0,72.0,8.0,False,False,6,5,1.0,VER
132,223.58499968,217.00277902222223,10129.85497984,11464.108317866667,85.45499264,57.25832106666667,False,False,6,5,6.582220657777782,VER
133,224.0,215.05833457777777,10156.0,11488.274984533333,95.0,76.42498773333334,False,False,6,5,8.94166542222223,VER
134,224.04250048,215.0,10165.01010176,11489.0,95.2125024,77.0,False,False,6,5,9.042500480000001,VER
135,224.84,216.9812496,10334.08,11556.3624864,99.2,97.8031208,False,False,6,5,7.858750399999991,VER
136,225.0,217.0,10368.0,11557.0,100.0,98.0,False,False,6,5,8.0,VER
137,230.0,220.0,10406.0,11672.0,100.0,98.0,False,False,6,5,10.0,VER
138,230.08,220.0,10403.6,11705.6374448,100.0,98.0,False,False,6,5,10.080000000000013,VER
139,231.0,220.0,10376.0,11741.0,100.0,98.0,False,False,6,5,11.0,VER
140,230.14689886245753,224.82243326054743,10606.977132989623,11846.289792855287,81.44505025845135,98.0,False,False,6,5,5.324465601910106,VER
141,227.10010908552016,226.0,11431.895465095418,11872.0,15.177372610063287,98.0,False,False,6,5,1.1001090855201596,VER
142,227.0,227.25357074285714,11459.0,11987.328508342856,13.0,94.65714468571429,False,False,6,5,-0.25357074285713566,NOR
143,221.83750186666666,229.0,11222.631335466667,12148.0,26.643745066666668,90.0,False,False,6,5,-7.162498133333344,NOR
144,217.1708352,229.69285851428572,11008.9646688,12044.417652114285,38.977078399999996,76.48925897142857,False,False,6,5,-12.522023314285718,NOR
145,213.0,231.0,10818.0,11849.0,50.0,51.0,False,False,5,5,-18.0,NOR
146,213.0,229.0750016,10876.391618133333,11681.5251392,56.20277262222222,35.92084586666667,False,False,5,5,-16.075001600000007,NOR
147,213.0,225.0,11059.149902933334,11327.0,75.61665635555556,4.0,False,False,5,5,-12.0,NOR
148,213.0,224.91499904,11091.0,11290.78959104,79.0,5.1900134399999995,False,False,5,5,-11.914999039999998,NOR
149,214.0,224.0,11186.0,10901.0,87.0,18.0,False,False,5,5,-10.0,NOR
150,214.90342896516964,220.5749952,11223.221273364989,10986.62512,89.34891530944105,18.8562512,False,False,5,5,-5.671566234830351,NOR
151,218.95327002183578,216.0,11390.074724899634,11101.0,99.878502056773,20.0,False,False,5,5,2.9532700218357775,VER
152,219.0,211.6125024,11392.0,10864.8063792,100.0,21.4624992,False,False,5,5,7.387497599999989,VER
153,223.0,210.0,11392.0,10778.0,100.0,22.0,False,False,5,5,13.0,VER
154,223.52857051428572,208.19166506666667,11392.0,11020.316881066667,100.0,53.64586133333333,False,False,5,5,15.336905447619046,VER
155,226.6714313142857,208.0,11392.0,11046.0,100.0,57.0,False,False,5,5,18.671431314285712,VER
156,227.0,207.0,11392.0,11069.0,100.0,74.0,False,False,5,5,20.0,VER
157,228.12142811428572,208.61666986666665,11290.510755657142,11121.945938133333,47.85359268571429,83.7000192,False,False,5,5,19.504758247619066,VER
158,229.0,210.61666986666665,11211.0,11187.445938133333,7.0,95.7000192,True,False,5,5,18.383330133333345,VER
159,227.28214582857143,211.0,11125.371576685715,11200.0,7.792855771428571,98.0,True,False,5,5,16.28214582857143,VER
160,216.0,213.9624992,10563.0,11370.63995392,13.0,98.59249984,True,False,5,5,2.0375008000000037,VER
161,212.5749952,216.0,10381.4747456,11488.0,21.562511999999998,99.0,True,False,5,5,-3.4250048000000106,NOR
162,210.0,217.43011201603164,10245.0,11525.591515849976,28.0,97.56988798396834,True,False,5,5,-7.430112016031643,NOR
163,205.88999424,221.94623358939444,10254.59001344,11644.30099720694,28.68500096,93.05376641060556,True,False,5,5,-16.056239349394446,NOR
164,204.0,223.0,10259.0,11672.0,29.0,92.0,False,False,5,5,-19.0,NOR
165,199.47916266666667,223.82499946666667,10173.104090666666,11482.250122666666,46.17918186666667,48.275028266666666,False,False,5,5,-24.3458368,NOR
166,199.0,224.0,10164.0,11442.0,48.0,39.0,False,False,5,5,-25.0,NOR
