Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,VER_Speed,NOR_Speed,Distance_Leader
223,-2305.8499788359286,-612.44146988354,-1370.0,-398.0,960.1043312541722,2017.183611111111,1922.0683665613237,95.11524454978735,279.0,265.68214217142855,VER
224,-2512.6871047433838,-724.8903539274468,-1535.6627336317438,-403.22609488381323,1028.612909355208,2032.7947222222222,1931.2238888888894,101.57083333333276,281.0,267.0,VER
225,-2527.0,-733.0,-1624.0,-407.0,960.0442698125956,2034.123950584769,1936.9800192654052,97.1439313193639,281.08500096,268.15499904,VER
226,-2634.668647107468,-797.4179354032009,-1696.1497861029425,-410.31788478930423,1015.2162831862546,2048.461388888889,1946.2238888888894,102.2374999999995,282.0,270.0,VER
227,-2704.3487104558594,-852.2161804196049,-1742.0,-419.0,1055.3631126268376,2064.2391666666667,1959.6600792345598,104.57908743210692,284.0,272.5285705142857,VER
228,-2732.0,-876.0,-1802.607995880644,-433.1987687218335,1029.4864874015848,2068.754819345973,1967.5350000000003,101.21981934597261,284.40714422857144,274.0,VER
229,-2860.0,-992.0,-1992.0,-483.0,1006.233074391813,2086.244707982228,1985.7789131139828,100.46579486824544,285.97857097142855,276.1545448727273,VER
230,-2861.545276749953,-993.4874217947513,-2138.0,-537.0,855.510685943773,2086.4836111111113,2001.279709409489,85.20390170162227,286.0,277.9727266909091,VER
231,-2943.7698406556633,-1082.5491616288452,-2140.8970276639,-538.2574941179055,969.9784395352023,2099.2391666666667,2001.5127777777782,97.72638888888855,287.0,278.0,VER
232,-2957.0,-1099.0,-2336.0,-628.0,779.4113163150763,2100.5964756008443,2015.2923625184535,85.30411308239081,287.08500096,279.32749952,VER
233,-3140.0,-1339.0,-2445.4280856067503,-680.2744382577433,957.2614637373404,2114.918283692501,2032.7350000000006,82.18328369250048,287.98,281.0,VER
234,-3143.299233824281,-1343.3826646457348,-2515.0,-726.0,880.863940588583,2115.2391666666667,2043.496869498933,71.7422971677338,288.0,282.36999936,VER
235,-3238.6635486124487,-1471.7544880569747,-2565.0043227924634,-760.752787660307,979.4591214028968,2141.0169444444446,2048.4572222222228,92.55972222222181,290.0,283.0,VER
