Point_Index,VER_Speed,NOR_Speed,Speed_Gap_kmh,Speed_Gap_Advantage,VER_Distance,NOR_Distance,Distance_Difference,VER_RPM,NOR_RPM,VER_nGear,NOR_nGear,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_DRS,NOR_DRS
37,309.0,309.9500002909091,-0.9500002909090881,NOR,406.2777777777778,383.7622317944571,22.51554598332075,10982.0,10899.950017745454,8,8,100.0,99.0,False,False,0,0
38,310.0,310.0,0.0,Equal,426.94444444444446,385.65944444444443,41.285000000000025,10990.0,10903.0,8,8,100.0,99.0,False,False,0,0
39,310.26944426666665,310.49433142774876,-0.22488716108210838,NOR,435.3126243848743,404.4724834701598,30.84014091471454,10997.544439466667,10937.603199942414,8,8,100.0,99.0,False,False,0,0
40,311.0,311.0,0.0,Equal,458.0444444444445,423.7569444444444,34.28750000000008,11018.0,10973.0,8,8,100.0,99.0,False,False,0,0
41,311.06071405714283,311.3562512,-0.2955371428571425,NOR,459.5162755337635,428.6951549187611,30.821120615002428,11021.460701257143,10973.0,8,8,100.0,99.0,False,False,0,0
42,311.9178569142857,312.0,-0.08214308571427864,NOR,480.3178186238993,437.6236111111111,42.69420751278824,11070.317844114286,10973.0,8,8,100.0,99.0,False,False,0,0
43,312.0,312.0,0.0,Equal,482.3111111111112,451.49027777777775,30.82083333333344,11075.0,10980.0,8,8,100.0,99.0,False,False,0,0
44,312.0,312.0,0.0,Equal,499.3762047655563,456.43008425191374,42.94612051364254,11033.7531384,10985.343768,8,8,100.0,99.0,False,False,0,0
45,312.0,312.0,0.0,Equal,510.0444444444445,465.3569444444444,44.68750000000006,11008.0,10995.0,8,8,100.0,99.0,False,False,0,0
46,312.2374997333333,312.0,0.23749973333332264,VER,514.9955988884021,478.9674398951991,36.02815899320302,11026.049979733334,10992.196429714286,8,8,100.0,99.0,False,False,0,0
47,313.0,312.0,1.0,VER,530.9111111111112,489.62361111111113,41.28750000000002,11084.0,10990.0,8,8,100.0,99.0,False,False,0,0
48,313.0,311.5895834666667,1.4104165333333185,VER,546.388517968151,506.6635637405685,39.72495422758243,11070.014275657142,10966.195841066667,8,8,100.0,99.0,False,False,0,0
49,313.0,311.2562501333333,1.7437498666666897,VER,555.2555555555556,520.4800326595451,34.77552289601044,11062.0,10946.862507733333,8,8,100.0,99.0,False,False,0,0
50,313.0,311.0,2.0,VER,560.297138924446,531.0902777777777,29.206861146668302,11068.105277713956,10932.0,8,8,100.0,99.0,False,False,0,0
51,313.0,310.5093752,2.4906247999999778,VER,577.6816458710821,544.6195239163652,33.06212195471687,11089.157913025225,10921.2062544,8,8,100.0,99.0,False,False,0,0
52,313.0,310.0,3.0,VER,586.6425,558.6458333333333,27.996666666666783,11100.0,10910.0,8,8,100.0,99.0,False,False,0,0
53,313.0,309.1343752,3.8656247999999778,VER,607.2496246397931,582.4269404210174,24.822684218775635,11191.8374752,10908.2687504,8,8,100.0,99.0,False,False,0,0
54,313.0,309.0,4.0,VER,607.5091666666667,586.1124999999998,21.396666666666874,11193.0,10908.0,8,8,100.0,99.0,False,False,0,0
55,310.0,308.28412215547684,1.7158778445231633,VER,624.731388888889,608.1077023199647,16.623686568924313,10970.0,10866.479085017656,8,8,100.0,99.0,False,False,0,0
56,309.91499904,308.0,1.9149990399999979,VER,626.1925963394141,616.8269444444443,9.365651894969801,10966.00495488,10850.0,8,8,100.0,99.0,False,False,0,0
57,309.0,307.0,2.0,VER,641.8980555555556,640.7047222222221,1.1933333333334986,10923.0,10746.0,8,8,100.0,85.0,False,False,0,0
58,308.0375008,305.0285696,3.0089311999999495,VER,648.4734137467972,652.3729756546566,3.899561907859379,10905.354181333334,10571.5284096,8,8,100.0,47.0499648,False,False,0,0
59,306.0,303.0,3.0,VER,662.2980555555556,664.2713888888889,1.973333333333244,10868.0,10392.0,8,8,100.0,8.0,False,False,0,0
60,304.89000192,301.3375018666667,3.55250005333329,VER,665.412176748513,669.008844904016,3.5966681555029254,10843.9500416,10680.562176,8,8,82.61003008,6.100002133333334,False,False,0,0
61,300.0,300.1708352,-0.17083519999999908,NOR,678.9647222222222,672.3201520796484,6.644570142573798,10738.0,10883.062176,8,8,6.0,4.7666688,True,False,0,0
