Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,Distance_Leader,VER_Speed,NOR_Speed
504,-12608.0,1092.0,-12305.025712362505,892.8022800431522,362.59226495535484,4152.419989947335,4177.856944444445,25.436954497109582,NOR,240.14427706086434,252.0
505,-12586.046431744682,1077.148951534772,-12223.0,841.0,433.09241382586964,4155.320555555553,4184.750616782601,29.4300612270481,NOR,241.0,253.61666986666665
506,-12473.0,1001.0,-12126.85571450603,782.0897805105654,409.55774999021054,4168.7953643020355,4203.656944444445,34.861580142409366,NOR,244.83055431111111,258.0
507,-12427.0,970.0,-12100.0,766.0,385.4153603581466,4174.339130775271,4209.218625879975,34.87949510470389,NOR,246.38610986666666,259.15499904
508,-12377.936073956396,937.9776352160839,-12040.877247778311,730.2905850886484,395.9072657772074,4180.120555555553,4218.156944444445,38.03638888889145,NOR,248.0,261.0
509,-12286.0,880.0,-11874.0,632.0,480.88252203630776,4191.139801661338,4235.6577168846,44.5179152232613,NOR,251.36428434285713,264.941544358541
510,-12222.395715477207,840.1845196349309,-11665.0,516.0,644.8143813558119,4199.876111111109,4253.722759426939,53.84664831582995,NOR,254.0,268.94989455366755
511,-12104.0,768.0,-11663.016144664914,514.903559836096,508.4531135609618,4212.641555614231,4253.948888888889,41.30733327465805,NOR,257.62045847272725,269.0
512,-11904.0,649.0,-11592.071038105985,475.4582944513819,356.95433998342276,4225.8534824016915,4266.037777777778,40.184295376086084,NOR,261.3022714181818,272.0
513,-11818.759747992177,598.8478644780537,-11479.0,415.0,386.31169232738523,4232.020555555553,4281.1257247606545,49.10516920510145,NOR,263.0,274.4624992
514,-11255.0,298.0,-11275.0,308.0,22.360679774997898,4312.287171507568,4293.490312950235,18.796858557332598,VER,276.8266658133333,276.4624992
515,-11143.479513008173,241.13646611749397,-11223.335465121692,281.07019207143185,89.28424024720663,4325.020555555553,4296.815555555556,28.2049999999972,VER,279.0,277.0
516,-11103.0,221.0,-11033.07901533497,183.04496394897933,79.55833619528286,4329.466409461135,4312.315555555555,17.150853905580334,VER,279.40714422857144,279.0
517,-10948.0,147.0,-10696.0,33.0,276.5863337187866,4346.640786737511,4369.066049927129,22.425263189617908,NOR,280.97857097142855,284.66052581052634
518,-10945.979903250838,146.04707966913816,-10667.195030955263,21.065527809978082,305.5182373050486,4346.876111111109,4372.482222222222,25.606111111113023,NOR,281.0,285.0
519,-10759.509215018068,59.74168219852668,-10547.379523711674,-28.347960657235703,229.69281902619838,4368.964999999998,4385.193333333333,16.228333333334376,NOR,284.0,286.0
520,-10690.0,30.0,-10446.0,-69.0,263.31919793285107,4375.0548370242705,4396.121599284766,21.066762260495125,NOR,284.4812496,286.8562496
521,-10601.076932336542,-6.857551588902751,-10312.312905610484,-119.91182289823035,310.10632272227275,4381.631666666664,4410.793333333333,29.16166666666868,NOR,285.0,288.0
522,-10500.0,-48.0,-10296.0,-126.0,218.40329667841556,4389.3480738400785,4412.160381018616,22.812307178537594,NOR,285.80833493333336,288.2124992
523,-10404.657515892162,-86.21096304867548,-10132.854081317491,-186.44355822571904,289.69584080982685,4400.764999999998,4423.682222222222,22.917222222224154,NOR,287.0,290.0
524,-10338.086440481255,-111.09890031569675,-10115.0,-193.0,237.64542927667372,4413.564999999997,4425.0534406829565,11.488440682959663,NOR,288.0,290.0708330666667
525,-10259.0,-140.0,-9957.352746286175,-249.3579757129442,320.858586491192,4421.344541545906,4443.082222222221,21.737680676314994,NOR,288.48500096,291.0
526,-10138.034292258466,-184.044607985901,-9855.0,-284.0,300.16577251069606,4429.6205555555525,4459.223795408203,29.603239852650404,NOR,289.0,292.64999893333334
527,-10047.0,-217.0,-9744.186936036169,-321.60417749370015,320.37132464734856,4435.816322875413,4472.482222222221,36.665899346808146,NOR,289.4812496,294.0
528,-9966.611994778485,-245.79374853058718,-9669.0,-347.0,314.349494627427,4442.509444444442,4478.86874012361,36.3592956791681,NOR,290.0,294.27757967887936
529,-9783.997484251782,-308.2100027824189,-9452.0,-420.0,350.31319276815594,4468.464999999997,4493.620848814608,25.15584881461018,NOR,292.0,294.91815013082424
530,-9740.0,-323.0,-9430.628023890404,-427.1860232888771,326.4440948320356,4474.626493002531,4495.50861111111,20.88211810857956,NOR,292.0,295.0
531,-9631.444048932462,-359.63937542774755,-9344.764946432657,-456.0715683187933,302.463345937768,4487.931666666664,4508.664166666666,20.73250000000189,NOR,292.0,296.0
532,-9509.0,-401.0,-9280.0,-478.0,241.59884105682295,4500.660276658894,4519.977850710619,19.317574051725387,NOR,293.3,296.76111217777776
533,-9434.583524677448,-426.09854564244785,-9124.0,-531.0,327.82074511445484,4507.531666666664,4536.556107859129,29.02444119246502,NOR,294.0,297.8722232888889
534,-9288.631384053162,-475.31983689671756,-9105.110390352023,-537.4273019812911,193.74543181268788,4520.642777777774,4538.464166666666,17.821388888891306,NOR,295.0,298.0
535,-9260.0,-485.0,-8915.083781066522,-601.9467198759222,364.20287392208286,4523.600799702624,4558.3975,34.79670029737645,NOR,295.1636363636364,299.0
536,-9089.0,-543.0,-8888.0,-611.0,212.19095173922943,4545.055116285559,4561.476774718039,16.4216584324804,NOR,296.3454545454546,299.18499968
537,-8981.223962696391,-579.3155714679444,-8763.749611130708,-652.0858832741438,229.32643081268606,4556.942777777775,4575.064166666666,18.121388888891488,NOR,297.0,300.0
538,-8839.0,-627.0,-8746.0,-658.0,98.03060746521976,4571.451520962165,4576.48316113285,5.031640170685023,NOR,297.0,300.07083413333334
539,-8788.380471972107,-643.9196356646437,-8460.0,-754.0,346.34003664726407,4576.742777777774,4594.879502442096,18.136724664322173,NOR,297.0,300.9874997333333
540,-8713.0,-669.0,-8457.154447725286,-754.9531075222029,269.89791275865133,4584.706862963873,4595.130833333334,10.423970369460221,NOR,297.72180439550004,301.0
541,-8571.0,-716.0,-8378.564544091581,-780.9758046141535,203.1089852171429,4599.717966030304,4608.553055555555,8.835089525251533,NOR,299.07518763706264,302.0
542,-8474.099494574752,-749.0689568725768,-8333.0,-796.0,148.6996643515997,4609.992777777774,4620.071713010124,10.078935232349977,NOR,300.0,302.4281256
543,-8445.0,-759.0,-8194.213891447907,-842.7808043181802,264.4104676727137,4613.084409281484,4635.486388888889,22.401979607405337,NOR,300.1541664,303.0
544,-8285.877379196816,-812.4919781477538,-8111.0,-871.0,184.40522328776348,4630.059444444441,4643.665578002408,13.606133557967041,NOR,301.0,303.34642925714286
545,-8195.0,-843.0,-7999.0,-909.0,206.81392603013947,4639.945910832503,4655.489763342536,15.543852510033503,NOR,301.3277774222222,303.84642834285717
546,-8012.689127469068,-904.4906567616201,-7965.207352852546,-920.280357326019,50.038320961514586,4660.259444444441,4659.130833333333,1.128611111108512,VER,302.0,304.0
547,-7999.0,-909.0,-7842.0,-961.0,165.38742394752995,4661.7715855059705,4672.464372318171,10.692786812200211,NOR,302.05607517628914,304.9812496
548,-7901.0,-941.0,-7712.018986873573,-1005.0689736239077,199.5461267564761,4671.856410263881,4686.330833333333,14.474423069452314,NOR,302.4299070265235,306.0
