Point_Index,HAM_Speed,RUS_Speed,HAM_RPM,RUS_RPM,HAM_Throttle,RUS_Throttle,HAM_Brake,RUS_Brake,HAM_nGear,RUS_nGear,Speed_Gap_kmh,Speed_Leader
206,284.0,282.0,10187.0,11595.0,100.0,100.0,False,False,8,7,2.0,HAM
207,284.0312496,282.6250016,10187.3437456,11608.4375344,100.0,100.0,False,False,8,7,1.406248000000005,HAM
208,285.1562496,284.0,10199.7187456,11638.0,100.0,100.0,False,False,8,7,1.1562496000000237,HAM
209,286.0,284.0,10209.0,11674.0,100.0,100.0,False,False,8,7,2.0,HAM
210,286.2031248,284.3406256,10230.9374784,11688.9875264,100.0,100.0,False,False,8,7,1.862499200000002,HAM
211,286.5781248,285.0,10271.4374784,11718.0,100.0,100.0,False,False,8,7,1.5781248000000119,HAM
212,287.0,285.0,10317.0,11718.0,100.0,100.0,False,False,8,7,2.0,HAM
213,287.44999936,285.1041669333333,10320.82499456,11566.1246112,100.0,100.0,False,False,8,7,2.345832426666675,HAM
214,289.0,285.2291669333333,10334.0,11383.8746112,100.0,100.0,False,False,8,7,3.7708330666666825,HAM
215,289.52,285.8958336,10367.8,10411.8746112,100.0,100.0,False,False,8,7,3.6241663999999787,HAM
216,290.0,286.0,10399.0,10260.0,100.0,100.0,False,False,8,8,4.0,HAM
217,290.78,289.0,10413.3,10270.0,100.0,100.0,False,False,8,8,1.7799999999999727,HAM
218,292.58749952,289.4,10446.4374912,10336.0,100.0,100.0,False,False,8,8,3.187499520000017,HAM
219,293.0,289.9031256,10454.0,10419.015724,100.0,100.0,False,False,8,8,3.09687439999999,HAM
220,293.0,290.0,10455.142857142857,10435.0,100.0,100.0,False,False,8,8,3.0,HAM
221,293.0,292.3343768,10458.374998857144,10464.5687728,100.0,100.0,False,False,8,8,0.6656232000000273,HAM
222,293.0,293.0,10459.0,10473.0,100.0,100.0,False,False,8,8,0.0,RUS
223,293.0,293.0,10434.0,10475.35269761113,100.0,100.0,False,False,8,8,0.0,RUS
224,293.0,293.0,10438.125,10476.0,100.0,100.0,False,False,8,8,0.0,RUS
225,293.0,293.0,10449.0,10476.0,100.0,100.0,False,False,8,8,0.0,RUS
226,292.6,291.9,10440.2,10483.425,100.0,73.875,False,False,8,8,0.7000000000000455,HAM
227,292.26666666666665,289.0,10432.866666666667,10503.0,100.0,5.0,False,False,8,8,3.2666666666666515,HAM
228,292.0,288.8,10427.0,10489.433333333332,100.0,4.833333333333333,False,False,8,8,3.1999999999999886,HAM
229,291.4142857142857,283.3,10442.814285714287,10116.35,86.52857142857142,0.25,False,False,8,8,8.1142857142857,HAM
230,291.0,283.0,10454.0,10096.0,77.0,0.0,False,False,8,8,8.0,HAM
231,289.8750016,275.85,10268.6565136,9593.55,67.156264,0.0,False,False,8,8,14.025001599999996,HAM
232,287.0,272.0,9795.0,9323.0,42.0,0.0,True,True,8,8,15.0,HAM
233,271.375008,223.28571428571428,9206.87530112,8705.657142857142,15.75001344,0.0,True,True,8,8,48.0892937142857,HAM
234,262.0,217.0,8854.0,8626.0,0.0,0.0,True,True,8,8,45.0,HAM
235,225.0,204.2,9063.0,8544.4,0.0,0.0,True,True,8,8,20.80000000000001,HAM
236,219.65714285714284,193.0,9046.342857142858,8473.0,0.0,0.0,True,True,8,8,26.657142857142844,HAM
237,191.0,187.57857645714284,8957.0,8536.8249408,0.0,0.0,True,True,7,8,3.4214235428571556,HAM
238,190.63889351111112,171.0,8969.527617422222,8732.0,0.0,0.0,True,True,7,8,19.63889351111112,HAM
239,165.0,162.75471467235985,9859.0,8891.69815792482,0.0,0.0,True,True,7,8,2.245285327640147,HAM
240,162.9,152.0,9940.2,9100.0,0.0,0.0,True,True,7,8,10.900000000000006,HAM
241,144.0,137.0,10671.0,9722.0,0.0,0.0,True,True,7,6,7.0,HAM
242,141.8,132.2312416,10425.92,9360.2556128,0.0,0.0,True,True,7,6,9.568758400000007,HAM
243,135.7500032,130.0,9751.95035648,9191.0,0.0,0.0,True,True,7,5,5.750003200000009,HAM
244,134.0,128.1571401142857,9557.0,8961.563944228572,0.0,0.0,True,True,6,5,5.84285988571429,HAM
245,129.05000192,126.0,9145.73765952,8693.0,0.0,0.0,True,True,6,3,3.0500019199999997,HAM
246,122.0,124.24999552,8560.0,8640.99986688,0.0,0.0,True,True,3,3,-2.249995519999999,RUS
247,119.3750016,119.0,8416.15008768,8485.0,0.0,0.0,True,True,3,3,0.3750016000000045,HAM
248,117.0,117.17857005714286,8286.0,8297.9998592,0.0,0.0,True,True,3,3,-0.17857005714286345,RUS
249,115.7,116.0,8204.425,8177.0,0.0,0.0,True,False,3,3,-0.29999999999999716,RUS
250,113.0,114.69999872,8035.0,8323.250144,0.0,13.32501312,False,False,3,3,-1.6999987199999964,RUS
251,110.67080772007263,113.30999808,8045.869563972994,8479.625216,1.5527948532849105,27.57251968,False,False,3,3,-2.639190359927369,RUS
252,110.0,112.0,8049.0,8627.0,2.0,41.0,False,False,3,3,-2.0,RUS
253,109.0,116.06389262222223,8087.0,8979.397545955555,27.0,50.28889742222222,False,False,3,3,-7.063892622222227,RUS
254,109.0,119.0,8120.15,9234.0,33.5,57.0,False,False,3,3,-10.0,RUS
255,109.0,123.0,8138.0,9308.0,37.0,61.0,False,False,3,3,-14.0,RUS
256,112.0,123.75000192,8709.0,9413.0002688,42.0,63.5000064,False,False,3,3,-11.750001920000003,RUS
257,112.48610986666667,126.0,8754.763771733333,9728.0,43.388885333333334,71.0,False,False,3,3,-13.513890133333334,RUS
258,118.3194432,129.85000704,9303.9304384,9940.80038912,60.055552,73.80000512,False,False,3,3,-11.530563840000013,RUS
259,119.0,137.0,9368.0,10336.0,62.0,79.0,False,False,3,3,-18.0,RUS
