2025-10-22 23:42:05 | INFO | f1.console | [[TIRE_ANALYSIS] DEBUG] 圖表數據已準備：20 個車手
2025-10-22 23:42:05 | INFO | f1.console | [[TIRE_ANALYSIS] DEBUG] 成功處理 20 車手輪胎策略數據
2025-10-22 23:42:05 | INFO | f1.console | [TIRE_ANALYSIS_MDI] 📊 更新圖表數據
2025-10-22 23:42:05 | INFO | f1.console | [TIRE_ANALYSIS_MDI]    - 組件類型: <class 'modules.gui.tire_analysis.tire_analysis_chart_widget.TireAnalysisChartWidget'>
2025-10-22 23:42:05 | INFO | f1.console | [TIRE_ANALYSIS_MDI]    - 組件模組: modules.gui.tire_analysis.tire_analysis_chart_widget
2025-10-22 23:42:05 | INFO | f1.console | [TIRE_ANALYSIS_MDI]    - 有 update_data: True
2025-10-22 23:42:05 | INFO | f1.console | [TIRE_ANALYSIS_MDI]    - 有 set_data: False
2025-10-22 23:42:05 | INFO | f1.console | [TIRE_ANALYSIS_MDI] ✅ 使用 update_data 方法
2025-10-22 23:42:05 | INFO | f1.console | [TIRE_ANALYSIS_MDI]    - update_data 方法來源: <function TireAnalysisChartWidget.update_data at 0x000002060F45DE40>
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_CONFIG] 表格配置完成 - 欄數:15 (自適應欄寬)
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] 表格大小調整:
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 計算的欄位總寬度: 988px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 建議表格寬度: 1013px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 滾動區域寬度: 640px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 最終設定表格寬度: 1013px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] 高度計算:
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 表頭高度: 26px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 行數: 17, 每行高度: 37px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 計算總高度: 665px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 滾動區域高度: 480px
2025-10-22 23:42:05 | INFO | f1.console | [TABLE_SIZE_DEBUG] - 最終表格高度: 460px
2025-10-22 23:42:05 | INFO | f1.console | [OK] 車手詳細記錄表格更新完成: 17 位車手
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] ========== _handle_api_success 開始 ==========
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 📦 data 類型: <class 'dict'>
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 📦 data 鍵值: ['analysis_type', 'metadata', 'results', 'file_info', 'cache_info']
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] ✅ 數據格式驗證通過
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] ✅ 步驟1: 數據格式驗證通過
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 📝 步驟2: 設置 metadata
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] ✅ 步驟2: metadata 設置完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] � 步驟3: 處理遙測數據
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 🔧 處理遙測數據...
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 常規遙測原始數據鍵值: ['name', 'driver1_data', 'driver2_data', 'distance', 'driver1_time_seconds', 'driver2_time_seconds', 'time_reference']
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 距離數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 車手1數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 車手2數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 🕒 [TIME_AXIS_DEBUG] 提取時間數據:
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 🕒 [TIME_AXIS_DEBUG]   driver1_time_seconds 點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 🕒 [TIME_AXIS_DEBUG]   driver2_time_seconds 點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] ✅ Speed Analysis數據處理完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG]    Distance點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG]    車手1數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG]    車手2數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] ✅ 步驟3: API 數據處理完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 📊 步驟4: 發送進度和狀態信號
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] ✅ 步驟4: 狀態更新完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEED DEBUG] 🚀 步驟5: 即將發送 data_loaded 信號
